"id","user_name","post_message","timestamp_post","num_like_post","num_comment_post","num_share_post","label"
"0","2.1670747238331E+18","Cần các bậc phụ huynh xã Ngũ Thái lên tiếng, không ngờ xã mình cũng nhận thịt nhiễm sán...
Cho các cháu Mầm non ăn uống thế này thật vô nhân tính!
VTV đăng tin rồi nhé các anh chị.","1584426000","45","15","8","1"
"1","7.3684975478124E+18","KÊU GỌI ĂN CHAY CẦU NGUYỆN XIN CHÚA CỨU KHỎI DỊCH VIRUS CORONA","1581362736","979","39","138","1"
"2","-5.7541426252803E+18","Giàn khoan dầu khí gặp sự cố, chết người!

Giàn khoan dầu khí ngoài trời Vũng Tàu gặp sự cố, làm chết nhiều người. Được biết nguyên nhân gây ra sự cố này là do gặp phải khí độc bốc lên làm nhiều người ngạt khí.","1587041580","85","13","61","1"
"3","4.1779353088497E+18","Thuận Lợi có ca dương tính CV19 rồi đó, mọi người ở Đồng Xoài cẩn thận nhé. Cố gắng an toàn cho qua mùa dịch này cả nhà ơi...
Bình Phước ơi gắng lên!","1596449280","114","12","5","1"
"4","5.540309800746E+18","Sa Pa cho 9 người khách nước ngoài đi cùng chuyến bay với Nhung…","1583548080","166","4","21","1"
"5","7.6499938000719E+18","Mọi người ra đường nhớ đeo khẩu trang nha. Đã có 2 trường hợp ở Phú Yên rồi nè.","1596949200","unknown","unknown","unknown","1"
"6","-4.2367642143239E+18","TIN CHẤN ĐỘNG , NHÂN LOẠI ĐƯỢC CỨU

100% người thử nghiệm thuốc chữa Virus corona thành công

Tôi hiện nay đang ở Mỹ và đang ăn tối với các bạn làm bác sĩ, tối nay, hàng loạt kênh truyền hình lớn của Mỹ (Fox News, ABC News,..) vừa công bố đợt thử nghiệm chữa trị cho người bênh virus corona đặt tỷ lệ 100% người lành bệnh.","1584717660","21","5","1 share","1"
"7","-3.0455511172363E+18","Tin Đức Giáo hoàng Phanxicô và hai phụ tá được xét nghiệm dương tính với coronavirus!","1583140380","166","15","5","1"
"8","-9.3149286418811E+17","Chất chlorine dioxide (còn gọi là ‘MMS’) không chỉ là chất có thể tiêu diệt tế bào ung thư, mà cũng có thể diệt sạch virus corona. Ông lớn dược phẩm muốn bạn không biết chuyện này :) ","1583237700","342","12","26","1"
"9","4.2938923206862E+18","Virus Corona là vũ khí sinh học?
Hiện nay có nhiều bằng chứng chỉ ra virus corona là nhân tạo tuy rất nhiều người còn chưa biết rõ về sự thật này...","1582507020","23","10","0","1"
"10","-5.4221690353445E+18","Có thể dùng thuốc trị sốt rét dự phòng COVID-19 nhé mọi người. Bác sĩ khuyến cáo nên trữ một ít thuốc này ở nhà, khi nào cảm thấy không khỏe, bất an là kịp thời uống mình tự xử lý luôn. Chứ chờ vào bệnh viện tình hình đỉnh dịch chắc chắn quá tải :)
Phải tự cứu mình thôi ace ạ.","1584656280","374","71","25","1"
"11","-8.5785633260251E+18","Danh Hài Thúy Nga Qua Đời Để Lại Gia Tài Triệu Đô Tại Mỹ","1593485100","unknown","unknown","unknown","1"
"12","1.0703166337028E+17","Quanh khu vực Xuân Mai mọi người cẩn trọng chú ý nhé.

Một trường hợp mắc dịch Corona ở Thanh Hoá ( Cầu Thiều - Triệu Sơ) đã đi chúc tết ở các nơi trong đó có Xuân Mai.

Tốc độ lây nhiễm cực kì nguy hiểm thì mọi người cũng biết rồi.

Gia đình được chúc tết chưa được nói rõ, ủ bệnh từ 1-14 ngày tuỳ theo sức đầy kháng của cơ thể. Tránh tụ tập nơi đông người để bảo vệ sức khoẻ cho mình cũng như gia đình và cộng đồng.

Thông tin chính xác của sở y tế hà nội. ","1589980200","unknown","unknown","unknown","1"
"13","-8.0992718334737E+18","Có 2 người chết ở nhà máy giấy Lee & Man rùi. Nhưng báo chưa cập nhật thui","1583760600","181","22","11","1"
